,churches,resorts,beaches,parks,theatres,museums,malls,zoo,restaurants,pubs-bars,burger-pizza,juice-bars,art-galleries,dance-clubs,swimming-pools,gyms,bakeries,beauty-spas,cafes,view-points,monuments,gardens
Cluster 1,1.211861042,1.74997563,1.733533712,2.178773355,2.411226645,2.966198213,3.99413485,3.717863526,4.585588952,4.135751422,1.943590577,1.544167344,1.647993501,0.985990099,0.712481818,0.676361386,0.681780303,0.797649123,0.811358268,1.321065141,1.109407725,1.198968121
Cluster 2,1.510612691,2.708463203,3.229109552,3.91130599,4.329525094,3.732099298,3.416384242,2.373318942,2.615240151,2.501057744,1.992029142,1.628051808,1.298009735,1.099082207,0.865538262,0.750364312,0.821602011,0.859292267,0.848403064,1.984493075,1.728553425,1.748462801
Cluster 3,2.279960669,2.641268437,2.594759095,2.529144543,2.255004916,1.928318584,1.923726647,1.571199607,1.863588987,1.734857424,1.320432645,1.663274336,1.954700098,1.549871921,1.547118977,1.58492126,2.145251728,2.214760956,1.95260396,3.252133727,2.735014749,2.573117011
Cluster 4,1.157161826,2.214440063,2.089651594,2.035136733,2.109157428,2.404035477,3.751056911,2.429578714,3.448625277,2.926533629,2.889083518,3.944863267,4.15052476,1.333032114,1.128276386,1.040212766,1.179463696,1.052018739,0.911702128,0.999800174,0.97971179,1.064706376
,,,,,,,,,,,,,,,,,,,,,,
activity,resorts,beaches,parks,theatres,museums,malls,zoo,art-galleries,dance-clubs,swimming-pools,gyms,beauty-spas,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
sightseeing,churches,view-points,monuments,gardens,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
food&drink,restaurants,pubs-bars,burger-pizza,juice-bars,bakeries,cafes,,,,,,,,,,,,,,,,
